brand,product,count
KEVYN AUCOIN,Stripped Nude Skin Tint,10
Makeup Revolution,Fast Base Stick Foundation,9
Makeup Revolution,Conceal & Glow Foundation,8
Catrice,True Skin Hydrating Foundation,8
Makeup Revolution,Conceal & Hydrate Foundation,8
Armani Beauty,Luminous Silk Compact Powder Foundation,8
SEPHORA COLLECTION,MicroSmooth Baked Powder Foundation,8
CoverGirl,Olay Simply Ageless Foundation,8
Dior,Diorskin Forever Perfect Matte Powder Foundation,8
Almay,Clear Complexion Make Myself Clear Makeup,8
Clinique,Even Better Refresh™ Hydrating and Repairing Foundation,7
Revlon,ColorStay Light Cover Liquid Foundation,7
Josie Maran,Vibrancy Argan Oil Foundation Fluid,7
Almay,Skin Perfecting Healthy Biome Makeup,6
Clinique,Almost Powder Makeup,6
MAKE UP FOR EVER,Water Blend Face & Body Foundation,6
Tarte,Travel Size Babassu Foundcealer Skincare Foundation Broad Spectrum SPF 20,6
Tarte,Travel Size Face Tape Foundation,6
Armani Beauty,Crema Nuda Supreme Glow Reviving Tinted Moisturizer,5
Armani Beauty,Designer Lift Smoothing Firming Full Coverage Foundation with SPF 20,5
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,5
Dior,Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,4
Physicians Formula,The Healthy Foundation SPF 20,4
Dior,Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,4
Armani Beauty,Maestro Fusion Makeup SPF 15 Liquid Foundation,3
Almay,Smart Shade Skintone Matching Makeup,3
Benefit Cosmetics,Mini Hello Happy Flawless Brightening Foundation SPF 15,2
Marc Jacobs Beauty,Re(marc)able Full Cover Foundation Concentrate,2
Lancôme,Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,1
Benefit Cosmetics,Hello Happy Soft Blur Foundation,1
Clinique,Age Defense BB Cream Broad Spectrum SPF 30,1
Marc Jacobs Beauty,Shameless Youthful-Look 24H Foundation SPF 25,1
Erborian,BB Cream Tinted Moisturizer Broad Spectrum SPF20,1
bareMinerals,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,1
Shiseido,Sports BB SPF 50+,1
Black Up,Full Coverage Cream Foundation,1
