Scale/Subscale,Age,Gender (F=1),Income,Education,"Political Ideology
(higher = more conservative)"
Manifestation scale,0.46499999999999997,0.555,0.49,0.45,0.59
Personal power,0.46,0.555,0.485,0.44,0.555
Cosmic collaboration,0.47,0.545,0.495,0.46499999999999997,0.605
